Date,Price,Open,High,Low
3/14/2023,387.79,388.44,390.05,387.57
3/15/2023,387.4,388.79,388.89,388.2
3/16/2023,387.63,388.4,389.42,386.95
3/17/2023,387.28,388.63,389.61,387.19
3/20/2023,387.48,388.28,389.84,387.29
3/21/2023,387.35,388.48,390.09,387.67
3/22/2023,387.17,388.35,390.13,387.83
3/23/2023,387.33,388.17,391.2,388.17
3/24/2023,387.07,388.33,390.32,387.58
3/27/2023,387.53,388.07,390.27,387.73
3/28/2023,387.29,388.53,390.77,388.14
3/29/2023,387.21,388.29,390.8,388.11
3/30/2023,387.3,388.21,391.1,388.11
3/31/2023,387.3,388.3,391,388.15
4/3/2023,387.48,388.3,390.9,388.05
4/4/2023,387.15,388.48,390.5,388.08
4/5/2023,387.32,388.15,391.6,388.08
4/6/2023,387.21,388.32,391.1,388.11
4/7/2023,387.21,388.21,391.1,388.11
4/10/2023,387.24,388.21,391.1,388.11
4/11/2023,387.24,388.24,391.2,388.12
4/12/2023,387.24,388.24,391.8,388.24
4/13/2023,386.97,388.24,392.6,387.97
4/14/2023,387.2,387.97,392.6,387.97
4/17/2023,386.94,388.2,390.5,387.94
4/18/2023,386.78,387.94,389.5,386.39
4/19/2023,386.65,387.78,388.21,387.65
4/20/2023,386.21,387.65,388.33,386.11
4/21/2023,386.47,387.21,388.23,385.61
4/24/2023,386.47,387.47,388.23,386.73
4/25/2023,385.24,387.47,387.73,385.62
4/26/2023,386.33,386.24,387.67,386.12
4/27/2023,385.43,387.33,389.6,386.21
4/28/2023,385.64,386.43,389.2,386.21
5/1/2023,385.64,386.64,387.32,386.32
5/2/2023,385.85,386.64,387.42,386.32
5/3/2023,385.98,386.85,389.4,385.42
5/4/2023,386.31,386.98,388.15,386.49
5/5/2023,385.35,387.31,388.15,385.17
5/8/2023,385.44,386.35,389.4,385.17
5/9/2023,385.44,386.44,387.72,385.72
5/10/2023,385.4,386.44,389,386
5/11/2023,386,386.4,388.7,386.17
5/12/2023,385,386.33,388.3,386.17
5/15/2023,386.23,386.38,388.11,386.19
5/16/2023,385.35,387.23,388.11,386.17
5/17/2023,385.31,386.35,387.17,385.65
5/18/2023,386.03,386.31,387.52,385
5/19/2023,385.42,387.03,387.03,385
5/22/2023,385.91,386.42,387.2,385
5/23/2023,385.25,386.91,387.2,385
5/24/2023,385.25,386.25,386.63,385.33
5/25/2023,385.4,386.25,386.7,385.05
5/26/2023,385.52,386.4,386.76,385.05
5/29/2023,383,386.5,386.5,385
5/30/2023,385.52,386.5,386.76,384.7
5/31/2023,385.62,386.52,387.31,384.5
6/1/2023,385.98,386.62,387.49,385.31
6/2/2023,386.22,386.98,388.11,385.3
6/5/2023,386.28,387.22,388.14,384.7
6/6/2023,386.04,387.28,388.14,384.6
6/7/2023,385.75,387.04,388.02,384.6
6/8/2023,386,386.75,388.02,384.45
6/9/2023,384,387,387.5,384.5
6/12/2023,385.4,386.18,387.2,385.59
6/13/2023,386.21,386.4,387.61,385.2
6/14/2023,385.6,386,388.11,385.8
6/15/2023,385.54,386.6,387.5,386.2
6/16/2023,385.54,386.54,387.27,386.27
6/19/2023,385.27,386.54,387.27,385.64
6/20/2023,386.08,387,388.04,385.14
6/21/2023,385.16,387.08,388.04,386.08
6/22/2023,385.14,386.16,388,385.07
6/23/2023,386.1,386.14,387.7,385.57
6/26/2023,385.55,387.1,387.6,386.17
6/27/2023,385.71,386.55,387.7,386.27
6/28/2023,385.53,386.71,387.75,386.36
6/29/2023,385.32,386.53,387.65,385.96
6/30/2023,385.06,386.32,387.16,385.68
7/3/2023,385.98,386.06,388,385.03
7/4/2023,385.98,386.9,387.54,386.39
7/5/2023,385.25,386.98,387.49,385.63
7/6/2023,385.28,386.25,387.14,385.13
7/7/2023,385,386.28,387.24,385.1
7/10/2023,386.09,386.19,387.89,385.1
7/11/2023,386.17,387.09,388.14,386.55
7/12/2023,385.26,387.17,388.9,385.13
7/13/2023,388.2,386.26,390.2,385.63
7/14/2023,385.01,390.2,390.4,385.01
7/17/2023,385.14,386.01,390.4,386.01
7/18/2023,385.29,386.14,390.6,385.07
7/19/2023,386.28,386.29,390.3,386.14
7/20/2023,385.29,387.28,390.1,386.14
7/21/2023,385.48,386.29,389.4,386.14
7/24/2023,386.09,386.48,388.05,386.24
7/25/2023,385.74,387.09,388.05,386.37
7/26/2023,385.4,386.74,388.8,385.7
7/27/2023,385.36,386.4,389.4,385.18
7/28/2023,385.22,386.36,388.2,386.11
7/31/2023,385.14,386.22,387.11,385.57
8/1/2023,385.18,386.14,387.95,385.57
8/2/2023,385.86,386.18,387.93,386.09
8/3/2023,385.86,386.86,387.93,385.43
8/4/2023,385.29,386.86,388.2,386.29
8/7/2023,385.09,386.29,388,386.09
8/8/2023,385.46,386.09,388,386.09
8/9/2023,385.07,386.46,386.46,386.07
8/10/2023,385.05,386.07,388.4,386.05
8/11/2023,385,386.05,387.9,386
8/14/2023,385.61,386,387.8,385.5
8/15/2023,385.66,386.61,387.83,386.3
8/16/2023,384.7,386.66,387.83,385.83
8/17/2023,385.15,386.7,387.13,385.48
8/18/2023,385.13,386.15,387.58,385.77
